rank,Team,wdt_ID,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
131,FaZe (S),136,Shanks,Zowie FK1,"1,000",400,0.6,240,1,BenQ XL2546,240,RTX 2060 Super,1920x1080,Zowie G-SR,Logitech G Pro X Mechanical Keyboard,HyperX Cloud II
38,100T,137,Asuna,Razer DeathAdder V2,"1,000","1,400",0.272,380,0.9,BenQ XL2546K,240,RTX 3090,1920x1080,Artisan FX Zero Soft,Corsair K-70 RGB,HyperX Cloud II
999,FA,138,KOLER,Logitech G Pro Wireless,"1,000",400,0.758,303,1,BenQ XL2546,240,,1920x1080,Zowie G-SR,Corsair K63 RGB,Sennheiser GAME ZERO
27,FaZe (B),139,Dicey,VAXEE OUTSET AX,"1,000",800,0.18,144,1,BenQ XL2546K,240,GTX 1080 Ti,1920x1080,Artisan Zero,Ducky One 2 Mini RGB,Sennheiser G4ME ONE
44,Gen.G (B),140,jcStani,Zowie ZA11,"1,000",800,0.4,320,1,,240,,1440x1080,Logitech G640,Leopold FC750R,Audio Technica M50x + modmic
999,FA,141,ROK3T,Logitech G Pro Wireless,"1,000",800,0.3,240,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Zowie G-SR,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,142,Yacine,Logitech G Pro Wireless,"1,000",800,0.4,320,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,QPAD FX-50,Xtrfy XG1-R LED,HyperX Cloud Alpha
999,FA,143,bonkar,Razer Viper,"1,000",800,0.384,307,1,ASUS ROG Swift PG258Q,240,GTX 1080,1680x1050,Xtrfy XTP1 Volcano Edition,Xtrfy XG1-R LED,HyperX Cloud Alpha
999,FA,144,ohai,Razer Orochi V2,"1,000",400,0.47,188,1,Alienware AW2518H,240,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Ducky One 2 Mini RGB,ASTRO A40
999,FA,145,rara,Logitech G703,"1,000",800,0.355,284,1,ASUS ROG Swift PG258Q,240,RTX 2080,1280x960,Logitech G640,HyperX Alloy FPS Pro,HyperX Cloud II
999,FA,146,Rawkus,FinalMouse Starlight Pro,"1,000",800,0.4,320,1,BenQ XL2546,240,RTX 2080,1920x1080,Artisan Zero,Ducky One 2 Mini RGB,Sennheiser GAME ZERO
20,G2 (B),148,Meddo,Xtrfy M4 Black,"1,000",800,0.25,200,1,BenQ XL2546,240,RTX 2080 Super,1920x1080,,,SteelSeries Arctis Pro White
55,Giants (B),149,ShadoW,FinalMouse Ultralight 2,500,400,0.408,163,1,BenQ XL2546,240,RTX 2080 Super,1920x1080,SteelSeries QcK+,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,150,DXN,Razer Viper Ultimate,"1,000",400,0.62,248,0.82,BenQ XL2546S,240,,1600x900,Cooler Master MP510,Ducky One 2 Mini RGB,Sennheiser PC37X
999,FA,151,Venerated,Logitech G Pro Wireless,"1,000",800,0.28,224,1,Alienware AW2518H,240,RTX 2080 Ti,1920x1080,Zowie G-SR-SE,Corsair K65,Sennheiser HD 598
93,Pioneers,152,thief,Zowie EC2-A,"1,000",800,0.3,240,1,BenQ XL2540,240,GTX 1080,1920x1080,Zowie G-SR,Corsair STRAFE,HyperX Cloud II
56,Ghost,153,aproto,Razer DeathAdder V3 Pro,"1,000",800,0.31,248,1,BenQ XL2546K,240,,1920x1080,Razer Gigantus V2,Razer Blackwidow V3 TKL,HyperX Cloud II
999,FA,154,Efina,Zowie EC2,"1,000",400,0.45,180,0.92,BenQ XL2546S,240,RTX 2080,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex M500,
999,FA,156,DaZeD,Logitech G Pro Wireless,"1,000",400,0.55,220,1,BenQ XL2540,240,GTX 1080,1920x1080,HyperX FURY S Pro X-Large,Razer BlackWidow TE,Sennheiser HD 600
22,The Guard (B),157,sayaplayer,Logitech G Pro Gaming Mouse,"1,000","1,000",0.339,339,1,BenQ XL2546K,240,RTX 2080,1920x1080,Esports Tiger LongTeng SE,Leopold FC750R,HyperX Cloud II Wireless
20,G2 (B),158,nukkye,Logitech G Pro X Superlight,"1,000","1,600",0.23,368,1,AOC AG251FZ2E,240,RTX 2080 Super,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
100,MIBR,160,frz,Logitech G Pro Wireless,"1,000",800,0.3,240,1,Alienware AW2518HF,240,RTX 2070 Super,1920x1080,VAXEE PA ZYGEN,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
43,Sentinels,162,pANcada,VAXEE XE Pink,"1,000",800,0.28,224,1,BenQ XL2546,240,GTX 1060,1440x1080,VAXEE PA FunSpark,Razer Huntsman V2 TKL,HyperX Cloud II
999,FA,163,jonba,Zowie FK1+,"1,000",400,0.6,240,1,BenQ XL2540,240,GTX 1070,1920x1080,Zowie G-SR-SE,HyperX Alloy FPS Pro,HyperX Cloud Alpha
999,FA,164,Yurii,Logitech G Pro Wireless,"1,000",400,0.55,220,1,,,RTX 2080 Super,,,,
3,OpTic,165,FNS,Logitech G Pro Wireless,"1,000",400,0.55,220,1,BenQ XL2546,240,RTX 3090,1920x1080,Artisan FX Zero Soft,Razer BlackWidow V3 Pro,Razer BlackShark V2
999,FA,166,WeDid,Logitech G703,"1,000","1,600",0.18,288,1,Acer XB240H,240,RTX 2080,1920x1080,,Razer BlackWidow Chroma V2,Logitech G432
7,Guild (B),167,Sayf,Logitech G Pro X Superlight,"1,000",400,0.5,200,1.3,ASUS ROG Swift PG259QN,240,RTX 3080,1280x1024,Lethal Gaming Gear Saturn,HyperX Alloy Origins 60,HyperX Cloud II
109,Resonate,168,insky,FinalMouse Ultralight 2,"1,000",400,0.585,234,1,BenQ XL2546,240,GTX 1080,1366x768,SteelSeries QcK+,SteelSeries Apex Pro TKL,SteelSeries Arctis Pro Wireless
999,FA,169,Kongared,Zowie EC2-B,"1,000",400,0.39,156,1,BenQ XL2546,240,GTX 1070,1920x1080,Razer Gigantus,Razer BlackWidow Chroma TE V2,HyperX Cloud II
32,Full Sense,170,PTC,Logitech G Pro X Superlight,"1,000",800,0.38,304,1,BenQ XL2546,240,RTX 3070,1920x1080,Logitech G640,HyperX Alloy FPS,Logitech G Pro X Headset
999,FA,172,wannafly,Zowie FK1+,"1,000",800,0.35,280,1,BenQ XL2546,240,RTX 2070 Super,1920x1080,Zowie G-SR,Zowie Celeritas II,Beyerdynamic MMX300
999,FA,173,Acetis,Zowie FK2,"1,000",800,0.65,520,1,BenQ XL2546,240,GTX 1070 Ti,1920x1080,,,
42,M3C,174,Chronicle,Logitech G Pro X Superlight,"1,000",400,1.25,500,0.777,ASUS TUF VG279QM,240,,1920x1080,Zowie G-SR-SE,Anne Pro 2,Logitech G Pro X Wireless Headset
999,FA,175,d3ffo,Zowie FK1+B,"1,000",800,0.51,408,1,BenQ XL2546,240,GTX 970,1280x960,VAXEE PA,Logitech G Pro Mechanical Keyboard,Sennheiser GAME ZERO
42,M3C,176,Sheydos,Logitech G Pro X Superlight White,"1,000",400,0.81,324,1.1,BenQ XL2546K,240,RTX 2080 Super,1280x960,VAXEE PA,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
999,FA,177,Sunset,FinalMouse Ultralight 2,500,800,0.5,400,1,BenQ XL2420Z,144,RTX 2080 Super,1920x1080,Logitech G440,Vortex Pok3r White,Sennheiser GSP 370
999,Free Agent,178,nAts,Zowie S2,"1,000",800,0.49,392,1,BenQ XL2546K,240,RTX 2060 Super,1280x960,Zowie G-SR,HyperX Alloy FPS Pro,HyperX Cloud Alpha S
999,FA,179,MkaeL,Razer DeathAdder V2 Pro,"1,000",800,0.3,240,1,,,GTX 1080 Ti,1920x1080,,Ducky One 2 Mini RGB,Logitech G Pro X
999,FA,180,patochovsk,Razer DeathAdder V2,"1,000",400,0.6,240,1,AOC AG251FZ,240,GTX 1660 Ti,1920x1080,HyperX FURY S Pro,Razer BlackWidow Chroma TE V2,GFallen Morcego
999,FA,181,FLG1,Glorious Model D Matte Black,"1,000",400,0.57,228,1,AOC AG251FZ,240,RTX 2060,1440x1080,Zowie G-SR,HyperX Alloy Origins Core,GFallen Morcego
999,FA,182,GTFAFMX,Razer DeathAdder Elite,"1,000",800,0.9,720,1,AOC AG251FZ,240,GTX 1080 Ti,1920x1080,Artisan Hayate Otsu,Corsair K70 Rapidfire,Sennheiser PC 363D
110,Unicorns of Love,183,nico,Logitech G Pro Wireless,"1,000",400,0.404,161,1,Alienware AW2518H,240,RTX 2080 Super,1280x1024,Glorious 3XL,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Wireless Headset
999,FA,184,murii,G-Wolves Hati Black,"1,000",600,0.1,60,1,ASUS ROG Strix XG248Q,240,RTX 2070 Super,1798x1080,Glorious 3XL,Ducky MIYA Pro Sakura,Logitech G430
999,FA,185,Zik,Razer Viper Mini,"1,000",400,0.628,251,1,BenQ XL2546,240,,1600x1024,Razer Gigantus V2,Razer BlackWidow V3 Pro,Razer BlackShark V2 Pro
33,NRG Esports,187,s0m,Logitech G Pro X Superlight White,"1,000",400,0.8,320,1.1,BenQ XL2546,240,RTX 3080,1920x1080,SteelSeries QcK Large,Razer Huntsman TE,HyperX Cloud II
999,FA,189,ShoT_UP,Logitech G502 Proteus Spectrum,"1,000",850,0.311,264,1,BenQ XL2411,144,,1920x1080,SteelSeries QcK Heavy,Razer BlackWidow Ultimate,HyperX Cloud II
37,Cloud9 Blue (B),190,mitch,Zowie EC2-B Divina Edition,"1,000",800,0.28,224,1,BenQ XL2540,240,RTX 2080 Super,1920x1080,HyperX FURY S Pro,Ducky One 2 Mini RGB,HyperX Cloud Alpha
33,NRG Esports (B),193,ANDROID,Zowie FK2,"1,000",800,0.35,280,1,BenQ XL2546,240,RTX 2080,1920x1080,Razer Gigantus,Logitech G915,HyperX Cloud II
47,Heretics,194,lowel,Razer DeathAdder V3 Pro,"1,000",400,0.566,226,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Zowie G-SR DG,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
36,Acend (B),195,Zeek,Logitech G Pro X Superlight,"1,000",800,0.37,296,1,BenQ XL2540,240,RTX 2060,1280x960,Artisan Hien FX Soft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,196,Anaks,Razer Viper Ultimate,"1,000",400,0.295,118,1.01,,,GTX 1080 Ti,1920x1080,Zowie G-SR,Logitech G Pro Mechanical Keyboard,
"1,000",Streamer,197,n0ted,FinalMouse Ultralight 2,500,800,0.471,376,1,BenQ XL2546,240,,1920x1080,The Mousepad Company,SteelSeries Apex Pro,
999,FA,198,Ladiff,Logitech G Pro X Superlight Black,"1,000",800,0.5,400,1,BenQ XL2411,144,RTX 2070 Super,1440x1080,HyperX FURY S Pro SE X-Large,CM MasterKeys Pro L,HyperX Cloud Alpha S
13,Liquid,199,Jamppi,VAXEE OUTSET AX Yellow,"1,000",800,0.42,336,1.009,ASUS ROG XG258Q,240,RTX 2080 Ti,1440x1080,VAXEE PA,Razer Huntsman Mini,HyperX Cloud II
33,NRG Esports (B),200,Ethan,Xtrfy M4 Wireless,"1,000",400,0.73,292,0.914,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Razer Gigantus,Razer BlackWidow Lite,HyperX Cloud II
999,FA,201,curry,Logitech G Pro X Superlight,"1,000",800,0.375,300,1,BenQ XL2540,240,RTX 2080 Super,1280x960,Artisan FX Zero XSoft,Ducky One 2 TKL RGB,Logitech G Pro X Wireless Headset
"1,000",Retired,202,YaBoiDre,Logitech G Pro Wireless,"1,000",800,0.314,251,1,Alienware AW2518H,240,GTX 1080 Ti,1920x1080,HyperX FURY S Speed Edition,Logitech G Pro Mechanical Keyboard,Bose QC20
38,100T,203,stellar,Logitech G Pro Wireless,"1,000",800,0.25,200,1,BenQ XL2546,240,RTX 3070,1280x960,Zowie G-SR,Ducky One 3 TKL Matcha,HyperX Cloud II
58,Shopify Rebellion,204,moose,Logitech G Pro X Superlight,"1,000",800,0.33,264,1,BenQ XL2546,240,GTX 1080,1920x1080,Logitech G640,CM MasterKeys Pro S,HyperX Cloud II
999,FA,205,Kehmicals,Logitech G Pro X Superlight Black,"1,000",800,0.38,304,1,BenQ XL2546S,240,GTX 1070,1920x1080,HyperX FURY S Pro X-Large,Logitech G Pro X Mechanical Keyboard,HyperX Cloud II
999,FA,206,BCJ,Glorious Model D-,"1,000",800,0.37,296,1,ASUS ROG Swift PG279Q,240,RTX 3070 Ti,1440x1080,Zowie G-SR-SE Rouge,Varmilo VA87M,Sennheiser G4ME ONE
999,FA,207,RUBINO,VAXEE ZYGEN NP-01,"1,000",400,0.62,248,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Artisan FX Zero XSoft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Wireless Headset
36,Acend (B),208,cNed,Zowie ZA12,"1,000",800,0.32,256,1,BenQ XL2546K,240,RTX 3080,1920x1080,SteelSeries QcK Heavy,Xtrfy K4-RGB TKL,HyperX Cloud II
33,NRG Esports (B),209,tex,Logitech G Pro X Superlight Black,"1,000",800,0.38,304,,ASUS VG248QE,144,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
127,NRG Esports (S),210,Ethos,Razer DeathAdder V3 Pro,"1,000",400,0.69,276,0.69,BenQ XL2546,240,RTX 3090,1920x1080,VAXEE PA,Custom Keyboard,HyperX Cloud II
999,FA,211,Poiz,Logitech G Pro X Superlight,"1,000",800,0.45,360,1,BenQ XL2546,240,,1920x1080,HyperX FURY S Pro,,
20,G2 (B),212,AvovA,Logitech G Pro X Superlight Black,"1,000",800,0.33,264,1,BenQ XL2546,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Wireless Headset
47,Heretics,213,pAura,Zowie S2,"1,000",400,0.55,220,1,BenQ XL2546,240,RTX 2060 Super,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS Pro,Logitech G Pro X Wireless Headset
13,Liquid,214,dimasick,Logitech G Pro X Superlight Black,"1,000",400,0.75,300,1,BenQ XL2546,240,RTX 2080 Super,1280x960,Artisan Zero,HyperX Alloy Origins,HyperX Cloud Alpha
999,FA,216,sutecas,Razer Viper Ultimate,"1,000",800,0.4,320,0.8,BenQ XL2546,240,RTX 2070,1920x1080,VAXEE PA Winter 21,Corsair K70 RGB MK.2,HyperX Cloud Alpha
6,LOUD,217,Saadhak,Logitech G Pro X Superlight Magenta,"1,000",800,0.24,192,1,Alienware AW2518H,240,RTX 2080,1920x1080,Artisan Hayate Otsu,Logitech G915 TKL,HyperX Cloud II
43,Sentinels,218,Sacy,Logitech G Pro X Superlight White,"1,000",800,0.4,320,1,BenQ XL2546,240,RTX 2060,1920x1080,VAXEE PA Summer22,Logitech G915,Logitech G Pro X Headset
49,T1,219,xeta,Logitech G Pro X Superlight Black,"1,000",400,0.58,232,0.85,BenQ XL2546,240,,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS Pro,Sennheiser GAME ZERO
999,FA,220,Shawn,Logitech G305,"1,000","1,200",0.4,480,1,BenQ XL2540K,240,RTX 3070 Ti,1920x1080,Zowie G-SR,Razer Huntsman Mini,Corsair VOID
999,FA,222,NaturE,Logitech G Pro X Superlight Black,"1,000",800,0.508,406,0.68,,,,1920x1080,HyperX FURY S Pro,Logitech G815,HyperX Cloud II
1,FPX,223,Suygetsu,FinalMouse Starlight 12,"1,000",800,0.25,200,1.1,BenQ XL2411,144,GTX 1070,1920x1080,Artisan Zero XSoft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,224,Ex6TenZ,Zowie FK2,"1,000",400,0.691,276,1,AOC AG251FZ,240,GTX 1080 Ti,1440x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro Gaming Headset
5,Fnatic,225,Derke,Logitech G Pro X Superlight Black,"1,000",400,0.74,296,1,BenQ XL2540,240,RTX 2070 Super,1920x1080,Logitech G640,Fnatic Streak65,Logitech G Pro X Headset
999,FA,226,Seoldam,Logitech G Pro X Superlight Black,"1,000",800,0.485,388,1,BenQ XL2546,240,,1920x1080,Xraypad Aqua Control+,Deck Francium 87 Pro,Corsair VOID Pro Wireless
26,Keyd (L),227,mwzera,Logitech G Pro X Superlight Black,"1,000",800,0.32,256,1,BenQ XL2546K,240,RTX 3060,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,GFallen Morcego
37,Cloud9 Blue,228,vanity,Logitech G Pro X Superlight Black,"1,000","1,600",0.141,225,1.1,BenQ XL2546,240,RTX 2070,1920x1080,Logitech G640,HyperX Alloy FPS,HyperX Cloud II
46,Version 1 (B),229,effys,Logitech G Pro X Superlight,"1,000",400,0.45,180,1,BenQ XL2546K,240,GTX 1080 Ti,1920x1080,Logitech G640,Razer Huntsman Mini,HyperX Cloud II Wireless
37,Cloud9 Blue,230,zellsis,Logitech G Pro X Superlight,"1,000",800,0.215,172,0.82,BenQ XL2546,240,GTX 1080,1920x1080,Zowie G-SR-SE Rouge,Gamesense Clutch,Sennheiser GAME ZERO
46,Version 1 (B),231,wippie,Logitech G Pro X Superlight Magenta,"1,000",800,1.572,"1,257",0.948,BenQ XL2546K,240,RTX 2070 Super,1024x768,Artisan FX Zero XSoft,HyperX Alloy Origins,Logitech G Pro X Wireless Headset
46,Version 1 (B),232,penny,Logitech G Pro X Superlight White,"1,000",800,0.408,326,,,,,,HyperX FURY,HyperX Alloy Elite,HyperX Cloud Earbuds
999,FA,233,Magnum,Logitech G Pro Wireless,"1,000",400,0.5,200,1.227,Samsung C24RG50,144,RTX 2060,1280x1024,SteelSeries QcK+,Fnatic MiniSTREAK,Logitech G Pro Gaming Headset
5,Fnatic,234,Boaster,Logitech G Pro X Superlight,"1,000",400,0.52,208,1,BenQ XL2546,240,RX 6900 XT,1920x1080,HyperX FURY S Pro,Fnatic MiniSTREAK,Logitech G Pro X Headset
111,MAD Lions (B),235,Doma,Razer DeathAdder V3 Pro,"1,000",800,0.35,280,0.75,BenQ XL2546,240,RTX 2080 Super,1920x1080,Razer Gigantus V2,Razer BlackWidow,Fnatic REACT
999,FA,236,Mistic,VAXEE ZYGEN NP-01,"1,000",400,0.58,232,0.875,BenQ XL2546,240,,1920x1080,Zowie G-SR,Fnatic MiniSTREAK,Fnatic REACT
85,BBL,237,aimdll,Zowie S2 Divina Edition,"1,000",400,0.531,212,1,ASUS VG259QM,240,RTX 2060 Super,1280x960,Zowie G-SR,Razer BlackWidow Elite,HyperX Cloud II
39,On Sla2ers (C),238,Peri,Glorious Model D,"1,000",400,0.525,210,0.8,BenQ XL2540,240,RTX 2080 Super,1920x1080,Razer Goliathus Control,Deck Francium Lite,
37,Cloud9 Blue,240,leaf,Logitech G Pro X Superlight White,"1,000",800,0.23,183,1,BenQ XL2546,240,RTX 3080,1280x960,Logitech G640,HyperX Alloy Origins Core,Sennheiser GAME ZERO
"1,000",Streamer,242,Horcus,Razer Viper Ultimate,"1,000",800,0.315,252,1,BenQ XL2546,240,RTX 2060,1920x1080,Aorus AMP500,Razer Huntsman Elite,HyperX Cloud II
999,FA,243,jammyz,FinalMouse Ultralight 2,"1,000",800,0.34,272,1.15,Alienware AW2518H,240,RTX 3060,,Zowie G-SR,Corsair K70 TKL,HyperX Cloud II
31,DWG KIA (L),244,Lakia,Zowie EC3-C,"1,000",800,0.333,266,1,BenQ XL2546,240,RTX 2080 Super,1920x1080,SteelSeries QcK Heavy,Razer Huntsman TE,HyperX Cloud Alpha
43,Sentinels (S),246,Tarik,Razer DeathAdder V3 Pro,500,800,0.471,376,1,BenQ XL2546,144,RTX 3080 Ti,1680x1050,Artisan Zero,Logitech G Pro Mechanical Keyboard,Beyerdynamic DT 990 Pro
92,DetonatioN Gaming,247,Suggest,Logitech G Pro X Superlight Magenta,"1,000",400,0.7,280,1,Alienware AW2518H,240,RTX 2080 Ti,1280x960,Xten Mousepad (Custom),Logitech G913,Logitech G Pro X Headset
7,Guild,248,koldamenta,Razer DeathAdder V3 Pro White,"1,000",800,0.3,240,1,ASUS ROG XG258Q,240,RTX 2080,1440x900,Logitech G640,Logitech G512,Logitech G Pro X Headset
95,REJECT,249,Zepher,Logitech G403,"1,000",400,0.55,220,1,BenQ XL2540,240,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud II
999,FA,250,Allow,Logitech G Pro Wireless,"1,000",800,0.234,187,1,BenQ XL2546,240,GTX 1080,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
12,Xerxia,251,foxz,FinalMouse Ultralight 2,"1,000",800,0.485,388,1,BenQ XL2546K,240,,1920x1080,Logitech G640,Xtrfy K4-RGB TKL,Logitech G Pro X
57,MOUZ,252,al0rante,Razer Viper V2 Pro,"1,000",400,0.35,140,1,BenQ XL2546,240,,1920x1080,Razer Gigantus V2,Razer Huntsman TE,HyperX Cloud II
36,Acend (B),253,MONSTEERR,Logitech G Pro Wireless,"1,000",800,0.4,320,1,AOC G2460PF,144,,1920x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro X Headset
47,Heretics,254,keloqz,Logitech G Pro X Superlight,"1,000",400,0.44,176,1,BenQ XL2546K,240,GTX 1060,1920x1080,Logitech G640,,Logitech G Pro X Wireless Headset
38,100T (L),255,bang,Logitech G Pro X Superlight,"1,000",800,0.32,256,1,ASUS VG248QE,144,,1920x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro X
999,FA,256,BabyJ,Zowie EC2-A,"1,000",400,0.45,180,1,BenQ XL2546,240,RTX 3070,1920x1080,,,HyperX Cloud II
90,ORDER,257,Texta,Logitech G Pro Wired,"1,000",400,0.7,280,1,Alienware AW2521HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
90,ORDER,259,Disk0,Logitech G Pro X Superlight Black,"1,000",400,0.525,210,1,Alienware AW2720HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
37,Cloud9 Blue (C),260,Autumn,Logitech G Pro X Superlight Black,"1,000",800,0.32,256,1,Alienware AW2521HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
85,BBL,263,AsLanMashadoVV,Xtrfy M42,"1,000",400,0.6,240,0.9,BenQ XL2546,240,RTX 2070,1280x960,SteelSeries QcK Large Cyberpunk Edition,Razer BlackWidow X Chroma ME,HyperX Cloud II
999,FA,264,seb,Xtrfy M4 Blue,"1,000",400,0.383,153,0.9,BenQ XL2540K,240,RTX 2080 Super,1920x1080,Artisan Zero (XL/Soft),SteelSeries Apex Pro TKL,Sennheiser G4ME ONE
31,DWG KIA,265,t3xture,Logitech G Pro X Superlight,"1,000",800,0.55,440,1,LG 27GN750,240,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Logitech G Pro Mechanical Keyboard,Logitech G Pro X Headset
82,FURIA,266,qck,Razer Viper Ultimate,"1,000",400,0.74,296,1,BenQ XL2546,240,RTX 2070 Super,1920x1080,Esports Tiger Neon,HyperX Alloy Origins 60,HyperX Cloud II
999,FA,267,Zunba,Logitech G Pro X Superlight White,"1,000",800,0.25,200,1,BenQ XL2546K,240,RTX 2080 Ti,1920x1080,Xraypad Aqua Control,Logitech G913 TKL,Audeze LCD-GX
