rank,Team,wdt_ID,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
31,DWG KIA,268,exy,Logitech G Pro X Superlight,"1,000",400,0.503,201,1,BenQ XL2546K,240,,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,Logitech G533
999,FA,269,Bunny,SteelSeries Prime Wireless,"1,000",800,0.38,304,1,BenQ XL2546K,240,RTX 2080 Ti,1920x1080,Zowie G-SR-SE,Mars Pro MK3,OC-G9 Mk2
999,FA,270,FiveK,Logitech G Pro X Superlight,"1,000",400,0.55,220,1,BenQ XL2546K,240,,1920x1080,Zowie G-SR,Mars Pro MK3,OC-G9 Mk2
60,SMB,271,glovee,Xtrfy M42,"1,000",400,0.525,210,1,BenQ XL2546,240,RTX 3060,1024x768,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
116,Kalafar Esports,272,Unity,Zowie EC2-B,"1,000",800,0.291,232,1,BenQ XL2546K,240,GTX 1060,1920x1080,Zowie G-SR-SE,HyperX Alloy FPS,HyperX Cloud II
60,SMB,273,Brave,Logitech G Pro Wireless,"1,000",400,0.85,340,1,BenQ XL2546K,240,,1920x1080,Logitech G640,HyperX Alloy FPS,Logitech G Pro X Headset
36,Acend (B),274,starxo,Logitech G Pro X Superlight,"1,000",800,0.485,388,1,ASUS ROG Strix XG248Q,240,RTX 2070 Super,1280x1024,Xtrfy GP4,Logitech G Pro Mechanical Keyboard,HyperX Cloud II
55,Giants (B),275,russ,VAXEE OUTSET AX Glossy,"1,000",800,0.5,400,1,ASUS VG259QM,240,,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
85,BBL,276,Turko,Logitech G Pro X Superlight,"1,000",400,0.6,240,1,,,,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud II
60,SMB,277,Izzy,Logitech G Pro X Superlight,"1,000",400,0.56,224,0.852,BenQ XL2546,240,,1920x1080,,Corsair K70 LUX,HyperX Cloud II
107,ENTER FORCE 36,278,iNTRO,Logitech G Pro X Superlight,"1,000",400,0.377,150,1,BenQ XL2546K,240,RTX 2080,1920x1080,Zowie G-SR,Corsair K65,Sennheiser GSP 600
37,Cloud9 Blue,279,yay,Logitech G Pro X Superlight Black,"1,000",800,0.27,216,1,BenQ XL2546,240,RTX 3090,1920x1080,Artisan Hayate Otsu XSoft,Wooting 60 HE,Razer BlackShark V2
10,NORTHEPTION (B),280,Meteor,Logitech G Pro X Superlight,"1,000",800,0.3,240,1,BenQ XL2546S,240,,1920x1080,Artisan Hayate Otsu,COX CK87,HyperX Cloud II
999,FA,281,TS,Logitech G703,"1,000",400,0.583,233,1,ASUS ROG XG258Q,240,,1920x1080,PULSAR ParaBreak XL,Logitech G913 TKL,Logitech G Pro X Headset
26,Keyd,282,heat,Logitech G Pro X Superlight Black,"1,000",800,0.4,320,1,Alienware AW2521HF,240,GTX 1660 Ti,1728x1080,SteelSeries QcK Heavy,Logitech G Pro Mechanical Keyboard,HyperX Cloud Alpha
2,Paper Rex,283,f0rsakeN,Logitech G Pro X Superlight,"1,000",800,0.712,569,1,BenQ XL2546K,240,GALAX GTX 1080 Ti,1920x1080,Zowie G-SR-SE Rouge,HyperX Alloy Origins Core,HyperX Cloud II
4,DRX,284,BuZz,Zowie S2,"1,000",400,0.57,228,0.8,BenQ XL2546K,240,,1280x960,Xraypad Aqua Control+,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
4,DRX,285,MaKo,Razer DeathAdder V3 Pro,"1,000",400,0.45,180,1,BenQ XL2546S,240,,1920x1080,Razer Gigantus V2,Razer BlackWidow V3 Pro,Razer BlackShark V2 Pro
42,M3C,286,Redgar,Logitech G Pro X Superlight,"1,000",800,0.7,560,1,BenQ XL2546K,240,RTX 3080,1920x1080,Zowie G-SR-SE Deep Blue,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
12,Xerxia,287,sScary,Logitech G Pro X Superlight,"1,000",800,0.36,288,1.1,BenQ XL2546K,240,RTX 3070,1920x1080,Logitech G640,Xtrfy K4-RGB TKL,HyperX Cloud Alpha S
12,Xerxia,288,sushiboys,Logitech G Pro X Superlight Magenta,"1,000",800,0.37,296,0.9,BenQ XL2546K,240,,1920x1080,Zowie G-SR,Glorious GMMK Pro,Logitech G Pro X Headset
12,Xerxia,289,Crws,Logitech G Pro X Superlight,"1,000","1,600",0.15,240,1,BenQ XL2546K,240,RTX 3070,1280x960,Zowie G-SR,Custom Tofu Build (Novelkeys Cream),Razer BlackShark V2 Pro
999,FA,290,b0i,Logitech G303 Shroud Edition,"1,000","1,600",0.455,728,1,BenQ XL2540,240,,1920x1080,VAXEE PA,Ducky One 2 RGB,HyperX Cloud II
13,Liquid,291,Nivera,Razer DeathAdder V3 Pro,500,800,0.173,138,1,Alienware AW2521H,360,RTX 3080,1280x960,SteelSeries QcK Heavy,Corsair K70 RGB MK.2,Logitech G Pro X Headset
2,Paper Rex,292,d4v41,Logitech G Pro X Superlight,"1,000",900,0.65,585,1,BenQ XL2546,240,GTX 1080 Ti,1280x1024,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,Razer HammerHead Pro V2
45,TSM,293,Seven,Logitech G Pro X Superlight,"1,000","1,600",0.25,400,1,BenQ XL2546K,240,,1920x1080,Artisan Hien FX Soft,,
82,FURIA,294,nzr,Logitech G Pro X Superlight Black,"1,000",800,0.45,360,1,AOC G2460PF,144,,1920x1080,VAXEE PA Winter 21,HyperX Alloy FPS,HyperX Cloud II
102,FAV Gaming,295,Fisker,Logitech G Pro X Superlight Black,"1,000",400,0.44,176,1,Alienware AW2521H,240,,1920x1080,Zowie G-SR,SteelSeries Apex Pro,JBL Quantum ONE
55,Giants (B),296,Kiles,Logitech G Pro X Superlight Black,"1,000",800,0.431,344,1,BenQ XL2540,240,RTX 2080,1280x960,VAXEE PA ZYGEN,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
15,Team Secret,297,dispenser,VAXEE ZYGEN NP-01,"1,000",450,0.44,198,0,BenQ XL2546,240,,1280x1024,Corsair MM350 Champion Series,SteelSeries Apex Pro TKL,
91,Vitality,298,BONECOLD,Razer DeathAdder V3 Pro,"1,000",800,0.27,216,1,BenQ XL2540,240,RTX 3060,1280x960,VAXEE PA,Logitech G Pro X Mechanical Keyboard,Sennheiser GAME ZERO
15,Team Secret,299,JessieVash,Glorious Model D Wireless,"1,000",800,0.4,320,0.9,BenQ XL2546K,240,RTX 2060 Super,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,
15,Team Secret,300,DubsteP,Logitech G Pro X Superlight,"1,000",800,0.385,308,1.1,BenQ XL2546K,240,,1280 x 960,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80 Wireless
15,Team Secret,301,BORKUM,VAXEE ZYGEN NP-01S,"1,000",400,0.65,260,0.9,BenQ XL2546K,240,GTX 1060,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80 Wireless
15,Team Secret,302,witz,VAXEE OUTSET AX,"1,000",800,0.41,328,,BenQ XL2546K,240,,,Corsair MM350 Champion Series,Corsair K70 RGB TKL,
11,KRÜ,303,Klaus,Razer Viper V2 Pro,"1,000",800,0.5,400,1,BenQ XL2546K,240,RTX 2070,1920x1080,VAXEE PA Black,Razer Huntsman TE,Logitech G Pro X Wireless Headset
999,FA,304,Mazino,Logitech G703,"1,000","1,600",0.22,352,1,BenQ XL2546K,240,RTX 3080,1600x1024,Artisan Zero,Razer Huntsman TE,HyperX Cloud Flight
11,KRÜ,305,NagZet,Zowie EC2-B,"1,000",400,0.75,300,1,BenQ XL2546K,240,GTX 1060,1920x1080,VAXEE PA FunSpark,Logitech G Pro X Mechanical Keyboard,
999,FA,306,delz1k,Logitech G Pro X Superlight,"1,000",400,0.72,288,1,BenQ XL2546K,240,GTX 1660,1280x960,VAXEE PA Black,HyperX Alloy FPS Pro,HyperX Cloud Flight
999,FA,307,keznit,Logitech G703,"1,000",800,0.346,276,1,BenQ XL2546K,240,GTX 1660,1680x1050,Zowie G-SR,Skyloong KS61,HyperX Cloud II Wireless
32,Full Sense,308,Johnolsen,FinalMouse Ultralight 2,"1,000",400,0.565,226,1,Alienware AW2521H,240,RTX 3070,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro,HyperX Cloud II
32,Full Sense,309,Lammysnax,SteelSeries Prime,"1,000",800,0.31,248,1,BenQ XL2546,240,RTX 3070,1920x1080,SteelSeries QcK Heavy,Logitech G913 TKL,HyperX Cloud II
32,Full Sense,310,SuperBuss,Logitech G Pro X Superlight,"1,000",800,0.38,304,1,BenQ XL2546,240,RTX 3070,1920x1080,Artisan FX Zero Soft,Ducky One 2 SF,Sennheiser GAME ZERO
32,Full Sense,311,Chalalala,Zowie FK1,"1,000",400,0.6,240,1,BenQ XL2546,240,RTX 3070,1920x1080,Artisan FX Zero Soft,Razer BlackWidow Chroma V2,HyperX Cloud Alpha
"1,000",Streamer,312,Kyedae,FinalMouse Starlight 12,"1,000",800,0.4,320,1,BenQ XL2540,240,RTX 3090,1920x1080,HyperX FURY S Pro,Custom Keyboard,Xtrfy H2
37,Cloud9 Blue,313,Xeppaa,Zowie EC2-C,"1,000",800,0.35,280,1,BenQ XL2546K,240,RTX 3080,1280x960,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud II
20,G2 (B),314,hoody,Logitech G403 HERO,"1,000",400,0.628,251,1,BenQ XL2546K,240,,1920x1080,Logitech G640,,Logitech G Pro X Headset
999,FA,315,Leviathan,Logitech G Pro X Superlight,"1,000",800,0.3,240,1,BenQ XL2740,240,RTX 3090,1920x1080,Artisan Hien FX Mid XL Black,Anne PRO 2,Logitech G Pro X Headset
45,TSM (B),316,Rossy,Logitech G Pro X Superlight,"1,000","1,600",0.225,360,1,ASUS TUF VG279QM,240,RTX 3070,1280x1024,Logitech G640,Logitech G915 TKL,Logitech G Pro X Wireless Headset
21,NIP (C) (B),317,JhoW,Logitech G Pro Wireless,"1,000",400,0.63,252,,Alienware AW2518HF,240,GTX 1070 Ti,,GFallen Pantera,HyperX Alloy Origins,SteelSeries Arctis 5
21,NIP (B),318,v1xen,Logitech G Pro X Superlight,"1,000",800,0.45,360,1,Alienware AW2518HF,240,GTX 1070,1280x960,AORUS AMP 500,CoolerMaster CK550,HyperX Cloud Alpha
26,Keyd,319,murizzzzz,Logitech G Pro X Superlight,"1,000",800,0.466,372,0.96,Alienware AW2518HF,240,RTX 2070 Super,1280x960,HyperX FURY S Pro,Anne Pro 2,Logitech G Pro X Wireless Headset
82,FURIA,320,Khalil,Logitech G Pro X Superlight,"1,000",800,0.5,400,1,BenQ XL2546,240,RTX 2070 Super,1920x1080,Razer Gigantus V2,HyperX Alloy FPS Pro,HyperX Cloud II
82,FURIA,321,mazin,Xtrfy M4 Wireless,"1,000",800,0.35,280,1,AOC AGON AG241QG,240,GTX 1060,1920x1080,VAXEE PA Winter 21,HyperX Alloy Origins,HyperX Cloud II
999,FA,322,BraveAF,Endgame Gear XM1r,"1,000",400,0.785,314,1,BenQ XL2546K,240,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,Logitech G Pro X Headset
46,Version 1 (B),323,Zander,FinalMouse Starlight Pro,"1,000",800,0.275,220,0.95,BenQ XL2546,240,RTX 2070 Super,1920x1080,Zowie G-SR-SE Rouge,Xtrfy K4 TKL,HyperX Cloud II Wireless
38,100T,324,Cryocells,Logitech G Pro X Superlight White,"1,000",800,0.3,240,1.25,BenQ XL2546,240,RTX 3070,1920x1080,SWIPE SP-FROST,Ducky One 2 Mini RGB,HyperX Cloud II
4,DRX,325,Zest,Zowie EC2,"1,000",400,0.56,224,1,BenQ XL2546K,240,,1280x960,Zowie G-SR,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
24,Global Esports,326,Ayrin,,"1,000",800,0.3,240,1,,,,1920x1080,,,
43,Sentinels,327,dephh,Razer Viper 8KHz,"1,000",800,0.214,171,1,BenQ XL2411T,144,,1024x768,Razer Gigantus V2,HyperX Alloy FPS,
43,Sentinels,328,Zekken,Logitech G Pro X Superlight,"1,000",800,0.35,280,1,BenQ XL2546,240,RTX 3070 Ti,1920x1080,Gamesense Radar XL,Custom Keyboard,
22,The Guard (B),329,neT,Razer DeathAdder V3 Pro,"1,000",400,0.44,176,1,BenQ XL2546,240,RTX 3070,1920x1080,Logitech G640,Anne Pro 2,HyperX Cloud II
22,The Guard (B),330,Valyn,Logitech G Pro X Superlight,"1,000","1,600",0.15,240,1,BenQ XL2546,240,RTX 2070,1920x1080,Logitech G640,Razer Huntsman TE,HyperX Cloud II
22,The Guard (B),331,JonahP,Razer Viper Ultimate,"1,000",400,0.5,200,1,BenQ XL2546,240,RTX 3090,1920x1080,Gamesense Radar,Ducky One 2 TKL White,Sennheiser GAME ZERO
22,The Guard,332,trent,Razer DeathAdder V3 Pro,"1,000","1,600",0.175,280,1.009,BenQ XL2546,240,,1920x1080,Zowie G-SR-SE Rouge,Redragon K522 TKL White,HyperX Cloud II
115,Maru Gaming,333,Jeong Hi,Logitech G Pro X Superlight,"1,000",800,0.395,316,1,,,,,SteelSeries QcK Heavy,Corsair K65,Sennheiser GSP 600
117,World Game Star,334,iRdy,Zowie EC2,"1,000",400,0.48,192,1,,,,1920x1080,,Logitech G Pro X Mechanical Keyboard,Astro A50
117,World Game Star,335,HANN,Logitech G Pro X Superlight Magenta,"1,000",400,0.63,252,1,,,,1920x1080,VAXEE PA,Logitech G Pro X Mechanical Keyboard,Astro A50
117,World Game Star,336,Sylvan,Logitech G Pro X Superlight,"1,000",800,0.285,228,1,,,,1920x1080,Logitech G840,Logitech G Pro X Mechanical Keyboard,Astro A50
117,World Game Star,337,Luke,Logitech G Pro X Superlight,"1,000",400,0.5,200,1,,,,1920x1080,SteelSeries QcK+,Logitech G Pro X Mechanical Keyboard,Astro A50
117,World Game Star,338,GODLIKE,Logitech G Pro X Superlight,"1,000",400,0.69,276,1,,,,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Astro A50
117,World Game Star,339,Clark,Logitech G Pro X Superlight,"1,000",800,0.275,220,1,,,,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Astro A50
10,NORTHEPTION,340,JoxJo,VAXEE OUTSET AX,"1,000",800,0.285,228,1,BenQ XL2546,240,,,VAXEE PA,Corsair K70 RGB MK.2,
2,Paper Rex,341,Jinggg,FinalMouse Starlight 12,"1,000","1,600",0.188,300,1,BenQ XL2546K,240,RTX 2080 Ti,1440x1080,Artisan FX Zero Soft,HyperX Alloy Origins Core,Logitech G Pro X Headset
8,Zeta Division,342,Dep,Logitech G Pro X Superlight,"1,000",400,0.9,360,1,BenQ XL2546K,240,,1680x1050,Zowie G-SR-SE Rouge,Corsair K100 RGB,Logitech G Pro X Headset
8,Zeta Division (B),343,TENNN,Logitech G Pro X Superlight,"1,000",800,0.28,224,1,BenQ XL2546K,240,,1280x960,VAXEE PA ZYGEN,Logitech G512,Logitech G Pro X Headset
8,Zeta Division,344,SugarZ3ro,Logitech G Pro X Superlight,"1,000",400,0.428,171,1,BenQ XL2546K,240,,1280x960,Zowie G-SR-SE,Logitech G915 TKL,Logitech G Pro X Headset
2,Paper Rex,345,Benkai,Pulsar X2,"1,000",800,0.25,200,0.7,BenQ XL2546K,240,RTX 2070 Super,1280x960,Artisan Hien FX Soft,Ducky One 2 Mini RGB,EPOS H6PRO White
2,Paper Rex,346,mindfreak,VAXEE XE White,"1,000",400,0.5,200,0.9,BenQ XL2546K,240,,1920x1080,VAXEE PA Summer22,HyperX Alloy Origins Core,
38,100T (M),347,Nadeshot,Logitech G Pro X Superlight Black,"1,000",800,0.2,160,1,BenQ XL2540,240,,1920x1080,SteelSeries QcK+,HiGround Sandstone,JBL Quantum ONE
6,LOUD,348,aspas,Razer DeathAdder V3 Pro,"1,000",800,0.4,320,1,ASUS VG259QM,240,RX 580,1920x1080,VAXEE PA ZYGEN,Logitech G915 TKL,Logitech G Pro X Headset
6,LOUD,349,Less,Logitech G Pro X Superlight,"1,000",800,0.32,256,1,BenQ XL2546K,240,GTX 1050 Ti,,VAXEE PA FunSpark,HyperX Alloy FPS RGB,HyperX Cloud II
12,Xerxia,350,Surf,Logitech G Pro X Superlight Magenta,"1,000",800,0.375,300,1,BenQ XL2546K,240,RTX 3070,1920x1080,Artisan Hayate Otsu,HyperX Alloy FPS,Beyerdynamic MMX300
80,Alliance,351,SEIDER,Razer Viper V2 Pro,"1,000","1,600",0.15,240,1,,,,1280x960,Razer Gigantus V2,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
999,FA,352,Kanpeki,Razer Viper V2 Pro,"1,000",800,0.32,256,1,BenQ XL2546 Divina Pink Edition,240,GTX 1080 Ti,1920x1080,Artisan FX Zero Soft,Custom Keyboard,HyperX Cloud II
5,Fnatic,353,Alfajer,Razer DeathAdder V3 Pro,"1,000",400,0.45,180,1,Alienware AW2521H,360,RTX 2060 Super,1920x1080,Zowie G-SR-SE Rouge,HyperX Alloy Origins Core,
"1,000",Streamer,354,benjyfishy,Razer Viper V2 Pro,"1,000",800,0.283,226,1,OMEN X25f,360,RTX 3090,1280x960,Gamesense Radar XL,SteelSeries Apex Pro TKL,Turtle Beach Atlas Aero
"1,000",Streamer,355,ErycTriceps,Logitech G303 Shroud Edition,"1,000",400,0.314,125,1,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Artisan Ninja FX,SteelSeries Apex Pro TKL,Sennheiser HD 660 S
"1,000",Streamer,357,Recrent,Logitech G Pro X Superlight Black,"1,000",800,0.3,240,1,Alienware AW2721D,240,RTX 3090,1920x1080,Artisan Hien FX Soft,Razer Huntsman V2 TKL,
57,MOUZ,358,RECIDENT,FinalMouse Starlight 12,,,,,,BenQ XL2546K,240,,,Razer Gigantus,Razer Huntsman TE,Razer BlackShark V2
57,MOUZ,359,memset,Logitech G Pro X Superlight,"1,000",400,0.37,148,,BenQ XL2546K,240,,1920x1080,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
57,MOUZ,360,Luzuh,Logitech G Pro X Superlight,"1,000",400,0.541,216,1,BenQ XL2540,240,,1280x960,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
9,Leviatan,361,Tacolilla,Logitech G Pro X Superlight Black,"1,000",800,0.2,160,1,BenQ XL2546K,240,RTX 3070,1680x1050,Razer Gigantus V2,Varmilo VA87M Beijing Opera,Logitech G Pro X Headset
33,NRG Esports (B),362,eeiu,,,,,,,BenQ XL2546,240,,,Artisan Hayate Otsu,,
5,Fnatic,363,Leo,Razer DeathAdder V2 Pro,"1,000",400,0.41,164,1,,,,1280x1024,HyperX FURY S Pro,,
7,Guild (B),364,Russ,Logitech G Pro X Superlight,"1,000",800,0.38,304,1,BenQ XL2546K,240,RTX 3070 Ti,1600x900,Xraypad Aqua Control+,HyperX Alloy Origins 60,HyperX Cloud II
7,Guild (B),365,trexx,G-Wolves Hati Black,"1,000",800,0.226,180,1,BenQ XL2546K,240,,1920x1080,Esports Tiger LongTeng SE,Anne Pro 2,HyperX Cloud Alpha S
38,100T (C),366,seangares,HyperX Pulsefire Haste,"1,000",800,0.315,252,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud Alpha
999,FA,367,adverso,Logitech G Pro X Superlight White,"1,000",400,0.5,200,1,,,GTX 1060,1920x1080,Xraypad Aqua Control+,Varmilo VA87M Summit,HyperX Cloud II Wireless
9,Leviatan,368,kiNgg,Logitech G Pro X Superlight,"1,000",800,0.27,216,1,ASUS TUF VG258QM,240,GTX 1070,1920x1080,Lethal Gaming Gear Saturn,Varmilo VA87M Beijing Opera,HyperX Cloud II
999,FA,369,Melser,Logitech G Pro X Superlight Magenta,"1,000",400,0.6,240,1,Alienware AW2521H,240,RTX 2070 Super,1920x1080,Lethal Gaming Gear Saturn,Ducky One 2 RGB,
9,Leviatan,370,Shyy,Logitech G Pro X Superlight,"1,000",800,0.32,256,1,,,GTX 1660,1280x1024,Razer Gigantus V2,Razer Huntsman V2 TKL,
99,Team RA'AD,371,phaze,Logitech G Pro X Superlight,"1,000",400,0.7,280,1.1,BenQ XL2546K,240,,1280x960,Zowie G-SR-SE,Razer Huntsman V2 TKL,HyperX Cloud Alpha
87,Rebels Gaming,372,JannyXD,Razer Viper V2 Pro,"1,000",400,0.52,208,1,BenQ XL2546K,240,RTX 3060,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2 Pro
87,Rebels Gaming,373,GatsH,Razer Viper Ultimate,"1,000",400,0.4,160,1,BenQ XL2546K,240,RTX 3060,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2
87,Rebels Gaming,374,vo0kashu,Razer Viper V2 Pro,"1,000",800,0.211,168,1,BenQ XL2546K,240,RTX 3060,1280x960,Razer Gigantus V2,Razer Huntsman Mini,
38,100T,375,derrek,Logitech G Pro X Superlight,"1,000",800,0.375,300,1,Acer XF250Q,240,GTX 1080 Ti,1920x1080,Zowie G-SR-SE Rouge,SteelSeries Apex 7 Ghost Edition,HyperX Cloud II
999,FA,376,Will,Logitech G Pro X Superlight,"1,000",800,0.4,320,1,BenQ XL2546K,240,RTX 3080,1920x1080,Artisan Zero,Ducky One 2 TKL White,EPOS H6PRO White
8,Zeta Division,377,Xdll,Logitech G Pro X Superlight,"1,000",800,0.285,228,1,BenQ XL2546K,,,1920x1080,SteelSeries QcK Edge,,
23,Edward Gaming,378,ZmjjKK,VAXEE ZYGEN NP-01S Pink,"1,000",800,0.28,,,BenQ XL2546K,240,,1920x1080,Artisan Hien FX Soft,,
82,FURIA,379,dgzin,Logitech G Pro X Superlight Magenta,"1,000",400,0.26,104,1,BenQ XL2546K,240,RTX 2070 Super,1280x1080,Artisan Zero,HyperX Alloy Origins Core,
125,Liquid (S),380,frttt,Zowie EC2,"1,000","1,600",0.755,"1,208",1,BenQ XL2546K,240,RTX 3080 Ti,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud II
"1,000",Streamer,381,iiTzTimmy,Logitech G Pro X Superlight,"1,000","1,800",0.19,342,1,BenQ XL2740,240,RTX 3080 Ti,1920x1080,Logitech G840 SE,Wooting 60 HE,Logitech G Pro X Wireless Headset SE
999,FA,382,governor,FinalMouse Starlight Pro,"1,000","1,200",0.45,540,1,BenQ XL2740,240,RTX 3070 Ti,1920x1080,SteelSeries QcK+,Ducky One 3 Mini,Beyerdynamic DT 990 Pro
111,MAD Lions (B),383,xms,Razer DeathAdder V3 Pro,"1,000",800,0.45,360,1,BenQ XL2540,240,RTX 3080,1920x1080,Zowie G-SR,Ducky One 2 RGB,HyperX Cloud II
118,Team BDS,384,logaN,Zowie FK1,"1,000",400,0.534,213,1,BenQ XL2411T,144,,,Zowie G-SR,SteelSeries Apex M500,HyperX Cloud II
21,NIP (B),385,xand,Logitech G Pro X Superlight,"1,000",800,0.51,408,0.95,BenQ XL2546K,240,RTX 2070 Super,1920x1080,VAXEE PA ZYGEN,Logitech G915 TKL,HyperX Cloud Alpha
119,Angry Titans,386,ngiN,Razer DeathAdder V3 Pro,"1,000",800,0.244,195,1,BenQ XL2540,240,,1920x1080,VAXEE PA,Razer BlackWidow V3 Pro,HyperX Cloud II
121,Fokus Clan,387,JUGi,Logitech G403 Wireless,"1,000",700,0.251,175,1,BenQ XL2546,240,,,Zowie G-SR,SteelSeries Apex M500,Sennheiser GAME ZERO
47,Heretics (S),389,SirMaza,Logitech G Pro X Superlight,"1,000",400,0.5,200,1,ASUS VG259QM,240,RTX 3080,1920x1080,ZOWIE GTF-X,HyperX Alloy FPS Pro,Beyerdynamic DT 880 Edition
rank,Team,wdt_ID,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
